keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
otter ai,1,201000,99,0.07,"I,N",otter ai review,ok,,,,,,,,,,
otter.ai,1,201000,94,0.07,"I,N",otter ai review,ok,,,,,,,,,,
ai note taker,1,27100,87,3.12,I,best ai notetaker,ok,,,,,,,,,,
fireflies ai,1,27100,91,1.5,"I,N",fireflies ai review,ok,,,,,,,,,,
fireflies.ai,1,22200,92,1.5,"I,N",fireflies ai review,ok,,,,,,,,,,
note taker,1,14800,92,1.63,I,best ai notetaker,ok,,,,,,,,,,
ai note taking,1,14800,90,3.12,I,best ai notetaker,ok,,,,,,,,,,
fathom ai,1,8100,62,2.22,"I,N",fathom review,ok,,,,,,,,,,
meeting assistant,1,3600,71,4.21,I,best ai notetaker,ok,,,,,,,,,,
ai note taking app,1,3600,63,3.16,I,best ai notetaker,ok,,,,,,,,,,
ai meeting note taker,1,3200,72,4.3,I,best ai notetaker,ok,,,,,,,,,,
ai meeting assistant,1,2900,69,4.04,I,best ai notetaker,ok,,,,,,,,,,
ai note-taking,1,2400,71,3.12,I,best ai notetaker,ok,,,,,,,,,,
ai notetaker,1,2400,74,3.2,I,best ai notetaker,ok,,,,,,,,,,
ai meeting,1,1900,66,2.84,I,best ai notetaker,ok,,,,,,,,,,
best ai note taking app,1,1900,71,2.66,I,best ai notetaker,ok,,,,,,,,,,
meeting ai,1,1900,63,2.84,I,best ai notetaker,ok,,,,,,,,,,
notetaker,1,1800,71,2.59,I,best ai notetaker,ok,,,,,,,,,,
note taking ai,1,1600,69,3.03,I,best ai notetaker,ok,,,,,,,,,,
meeting recorder,1,1300,64,3.59,I,best ai notetaker,ok,,,,,,,,,,
best ai note taker,1,1300,70,2.07,I,best ai notetaker,ok,,,,,,,,,,
note taker ai,1,1300,71,2.94,I,best ai notetaker,ok,,,,,,,,,,
ai notetaking,1,1300,72,3.12,I,best ai notetaker,ok,,,,,,,,,,
otter at,1,1300,77,0.07,"I,N",otter ai review,ok,,,,,,,,,,
fanthom,1,1300,60,0.18,"L,C",fathom review,ok,,,,,,,,,,
fathom video,1,1000,65,0.16,"I,N",fathom review,ok,,,,,,,,,,
meeting note taker,1,810,33,4.46,I,best ai notetaker,ok,,,,,,,,,,
ai meeting notes,1,810,54,3.3,I,best ai notetaker,ok,,,,,,,,,,
what is otter,1,810,40,0.74,I,otter ai review,ok,,,,,,,,,,
note taker app,1,740,31,2.03,I,best ai notetaker,ok,,,,,,,,,,
free ai note taker,1,740,44,2.42,I,best ai notetaker,ok,,,,,,,,,,
take meeting notes,1,660,44,3.3,I,best ai notetaker,ok,,,,,,,,,,
takes notes,1,610,43,1.39,I,best ai notetaker,ok,,,,,,,,,,
apps for recording lectures,1,590,6,1.97,I,best ai notetaker,ok,,,,,,,,,,
meeting recording app,1,590,29,3.86,I,best ai notetaker,ok,,,,,,,,,,
