keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
minutes a,1,47500,83,0,I,ai meeting notes,ok,,,,,,,,,,
ai note taker,1,27100,87,3.12,I,ai meeting notes,ok,,,,,,,,,,
note taker,1,14800,92,1.63,I,ai meeting notes,ok,,,,,,,,,,
ai note taking,1,14800,90,3.12,I,ai meeting notes,ok,,,,,,,,,,
minutes of minutes,1,6600,65,1.94,I,ai meeting notes,ok,,,,,,,,,,
meeting assistant,1,3600,71,4.21,I,ai meeting notes,ok,,,,,,,,,,
ai note taking app,1,3600,63,3.16,I,ai meeting notes,ok,,,,,,,,,,
meeting notes,1,3200,71,3.85,I,ai meeting notes,ok,,,,,,,,,,
ai meeting note taker,1,3200,72,4.3,I,ai meeting notes,ok,,,,,,,,,,
ai meeting assistant,1,2900,69,4.04,I,ai meeting notes,ok,,,,,,,,,,
ai note-taking,1,2400,71,3.12,I,ai meeting notes,ok,,,,,,,,,,
ai notetaker,1,2400,74,3.2,I,ai meeting notes,ok,,,,,,,,,,
ai meeting,1,1900,66,2.84,I,ai meeting notes,ok,,,,,,,,,,
best ai note taking app,1,1900,71,2.66,I,ai meeting notes,ok,,,,,,,,,,
meeting ai,1,1900,63,2.84,I,ai meeting notes,ok,,,,,,,,,,
meeting recording,1,1800,70,3.59,I,ai meeting notes,ok,,,,,,,,,,
notetaker,1,1800,71,2.59,I,ai meeting notes,ok,,,,,,,,,,
note taking ai,1,1600,69,3.03,I,ai meeting notes,ok,,,,,,,,,,
read notes,1,1500,74,0.8,"I,N",ai meeting notes,ok,,,,,,,,,,
meeting recorder,1,1300,64,3.59,I,ai meeting notes,ok,,,,,,,,,,
best ai note taker,1,1300,70,2.07,I,ai meeting notes,ok,,,,,,,,,,
note taker ai,1,1300,71,2.94,I,ai meeting notes,ok,,,,,,,,,,
ai notetaking,1,1300,72,3.12,I,ai meeting notes,ok,,,,,,,,,,
ai note,1,1100,64,1.33,I,ai meeting notes,ok,,,,,,,,,,
meeting note taker,1,810,33,4.46,I,ai meeting notes,ok,,,,,,,,,,
note taker app,1,740,31,2.03,I,ai meeting notes,ok,,,,,,,,,,
free ai note taker,1,740,44,2.42,I,ai meeting notes,ok,,,,,,,,,,
take meeting notes,1,660,44,3.3,I,ai meeting notes,ok,,,,,,,,,,
record meeting,1,610,40,3.59,I,ai meeting notes,ok,,,,,,,,,,
takes notes,1,610,43,1.39,I,ai meeting notes,ok,,,,,,,,,,
meeting recording app,1,590,29,3.86,I,ai meeting notes,ok,,,,,,,,,,
take notes for me,1,590,45,2.43,I,ai meeting notes,ok,,,,,,,,,,
meeting record,1,590,34,3.06,I,ai meeting notes,ok,,,,,,,,,,
meeting recorder app,1,590,32,3.86,I,ai meeting notes,ok,,,,,,,,,,
record notes,1,590,42,1.58,I,ai meeting notes,ok,,,,,,,,,,
ai note taker for zoom,1,590,31,3.55,I,ai meeting notes,ok,,,,,,,,,,
notes recording,1,590,44,1.58,I,ai meeting notes,ok,,,,,,,,,,
record a meeting app,1,590,18,3.86,I,ai meeting notes,ok,,,,,,,,,,
app for recording meetings,1,590,27,3.86,I,ai meeting notes,ok,,,,,,,,,,
note recording,1,590,58,1.58,"L,C",ai meeting notes,ok,,,,,,,,,,
recording note,1,590,58,1.58,I,ai meeting notes,ok,,,,,,,,,,
recording notes,1,590,49,1.58,I,ai meeting notes,ok,,,,,,,,,,
microsoft teams ai note taker,1,590,26,2.59,I,ai meeting notes,ok,,,,,,,,,,
free ai notes generator,1,590,36,1.81,I,ai meeting notes,ok,,,,,,,,,,
teams ai note taker,1,590,32,2.94,I,ai meeting notes,ok,,,,,,,,,,
teams ai meeting notes,1,590,20,2.47,I,ai meeting notes,ok,,,,,,,,,,
record meetings,1,500,22,3.59,I,ai meeting notes,ok,,,,,,,,,,
record meeting minutes,1,480,38,3.19,I,ai meeting notes,ok,,,,,,,,,,
recording meeting minutes,1,480,17,3.19,I,ai meeting notes,ok,,,,,,,,,,
meeting transcription app,1,480,44,3.93,I,ai meeting notes,ok,,,,,,,,,,
lecture note taker,1,480,35,1.82,I,ai meeting notes,ok,,,,,,,,,,
meeting minutes record,1,480,22,3.19,I,ai meeting notes,ok,,,,,,,,,,
meeting minutes recording,1,480,28,3.19,I,ai meeting notes,ok,,,,,,,,,,
meeting transcribe,1,480,50,3.88,I,ai meeting notes,ok,,,,,,,,,,
minutes of meeting recorder,1,480,44,3.19,I,ai meeting notes,ok,,,,,,,,,,
recorder for meeting minutes,1,480,23,3.19,I,ai meeting notes,ok,,,,,,,,,,
recording minutes of a meeting,1,480,27,3.19,I,ai meeting notes,ok,,,,,,,,,,
taking minutes of meeting,1,480,18,1.18,I,ai meeting notes,ok,,,,,,,,,,
taking of minutes for meetings,1,480,22,1.18,I,ai meeting notes,ok,,,,,,,,,,
meeting minutes recorder,1,480,44,3.19,I,ai meeting notes,ok,,,,,,,,,,
meeting note taker app,1,480,49,3.72,I,ai meeting notes,ok,,,,,,,,,,
minutes meeting recorder,1,480,38,3.19,I,ai meeting notes,ok,,,,,,,,,,
meeting note,1,480,39,3.85,I,ai meeting notes,ok,,,,,,,,,,
app that takes notes for you,1,480,34,2.92,I,ai meeting notes,ok,,,,,,,,,,
ai recording,1,480,36,2.39,"L,C",ai meeting notes,ok,,,,,,,,,,
record meeting notes,1,480,42,3.19,I,ai meeting notes,ok,,,,,,,,,,
record the minutes,1,480,20,3.19,I,ai meeting notes,ok,,,,,,,,,,
meeting note taking app,1,480,37,3.72,I,ai meeting notes,ok,,,,,,,,,,
best meeting note taking app,1,480,19,3.17,I,ai meeting notes,ok,,,,,,,,,,
google meet notes taker,1,480,19,4.64,I,ai meeting notes,ok,,,,,,,,,,
apps that take notes for you,1,480,36,2.92,I,ai meeting notes,ok,,,,,,,,,,
recording meetings for minutes,1,480,11,3.19,I,ai meeting notes,ok,,,,,,,,,,
meeting minute recorder,1,480,45,3.19,I,ai meeting notes,ok,,,,,,,,,,
record minutes of meeting,1,480,17,3.19,I,ai meeting notes,ok,,,,,,,,,,
recording minutes at meetings,1,480,21,3.19,I,ai meeting notes,ok,,,,,,,,,,
recording minutes for meetings,1,480,22,3.19,I,ai meeting notes,ok,,,,,,,,,,
recording minutes of meeting,1,480,10,3.19,I,ai meeting notes,ok,,,,,,,,,,
recording of minutes,1,480,18,3.19,I,ai meeting notes,ok,,,,,,,,,,
recording meeting notes,1,480,41,3.19,I,ai meeting notes,ok,,,,,,,,,,
ai meeting recorder,1,480,40,3.17,I,ai meeting notes,ok,,,,,,,,,,
minute taking for meetings,1,480,22,1.18,I,ai meeting notes,ok,,,,,,,,,,
ai notetakers,1,480,64,3.63,I,ai meeting notes,ok,,,,,,,,,,
free ai meeting note taker,1,480,40,2.97,I,ai meeting notes,ok,,,,,,,,,,
ai note app,1,480,41,1.57,I,ai meeting notes,ok,,,,,,,,,,
note takers,1,440,61,1.63,I,ai meeting notes,ok,,,,,,,,,,
automatic note taker,1,390,47,2.88,I,ai meeting notes,ok,,,,,,,,,,
meeting summary,1,390,31,3.47,I,ai meeting notes,ok,,,,,,,,,,
