keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
live transcribe,2,4400,74,0.66,"I,N",live transcription app,ok,,,,,,,,,,
transcription app,2,3200,67,2.24,I,live transcription app,ok,,,,,,,,,,
transcribe app,2,2900,73,2.24,I,live transcription app,ok,,,,,,,,,,
speech to text app,2,2400,70,1.4,I,live transcription app,ok,,,,,,,,,,
transcription apps,2,2400,67,2.24,I,live transcription app,ok,,,,,,,,,,
app to transcribe,2,1500,69,2.24,I,live transcription app,ok,,,,,,,,,,
live transcript,2,880,32,1.58,I,live transcription app,ok,,,,,,,,,,
live transcription,2,880,38,1.58,I,live transcription app,ok,,,,,,,,,,
google live transcribe,2,720,37,1.37,"I,N",live transcription app,ok,,,,,,,,,,
real time transcription software,2,590,30,0,I,live transcription app,ok,,,,,,,,,,
live transcribe app for android,2,590,34,1.71,"I,N",live transcription app,ok,,,,,,,,,,
app to transcribe audio to text,2,480,43,2.89,I,live transcription app,ok,,,,,,,,,,
app that transcribes audio to text,2,480,36,2.89,I,live transcription app,ok,,,,,,,,,,
app that transcribes audio into text,2,480,38,2.89,I,live transcription app,ok,,,,,,,,,,
app transcribe audio to text,2,480,36,2.89,I,live transcription app,ok,,,,,,,,,,
audio to text app,2,390,48,2.13,I,live transcription app,ok,,,,,,,,,,
free speech to text app,2,390,47,1.2,I,live transcription app,ok,,,,,,,,,,
sound to text app,2,390,46,2.13,I,live transcription app,ok,,,,,,,,,,
audio text app,2,390,57,2.13,I,live transcription app,ok,,,,,,,,,,
audio to text application,2,390,49,2.13,I,live transcription app,ok,,,,,,,,,,
android voice transcription,2,390,40,2.42,I,live transcription app,ok,,,,,,,,,,
live transcribe app,2,390,34,0.92,"I,N",live transcription app,ok,,,,,,,,,,
speech to text app for android,2,390,37,0.75,I,live transcription app,ok,,,,,,,,,,
speech to text apps for android,2,390,36,0.75,I,live transcription app,ok,,,,,,,,,,
live transcribe and sound notifications,2,390,29,0.79,"I,N",live transcription app,ok,,,,,,,,,,
voice transcription app,2,320,50,2.27,I,live transcription app,ok,,,,,,,,,,
real time transcription,2,320,35,2.49,I,live transcription app,ok,,,,,,,,,,
application to transcribe audio,2,320,44,2.67,I,live transcription app,ok,,,,,,,,,,
real-time transcription,2,320,37,2.49,I,live transcription app,ok,,,,,,,,,,
voice to text real time,2,320,62,1.87,I,live transcription app,ok,,,,,,,,,,
app to transcribe audio,2,320,31,2.67,I,live transcription app,ok,,,,,,,,,,
real time transcriptions,2,320,25,2.49,I,live transcription app,ok,,,,,,,,,,
best speech-to-text app for hearing impaired free,2,320,28,0,I,live transcription app,ok,,,,,,,,,,
real time transcripts,2,320,28,2.49,I,live transcription app,ok,,,,,,,,,,
free voice to text app,2,260,43,1.2,I,live transcription app,ok,,,,,,,,,,
free voice texting app,2,260,38,1.2,I,live transcription app,ok,,,,,,,,,,
phone transcription,2,260,45,2.45,I,live transcription app,ok,,,,,,,,,,
google transcribe,2,220,36,1.67,I,live transcription app,ok,,,,,,,,,,
best speech to text app for android,2,210,28,1.59,I,live transcription app,ok,,,,,,,,,,
deaf voice to text devices,2,210,23,0.41,I,live transcription app,ok,,,,,,,,,,
best free transcribing app,2,210,32,1.84,I,live transcription app,ok,,,,,,,,,,
free transcription apps,2,210,38,1.99,I,live transcription app,ok,,,,,,,,,,
transcribing app free,2,210,33,1.99,I,live transcription app,ok,,,,,,,,,,
app that converts speech to text,2,170,52,1.62,I,live transcription app,ok,,,,,,,,,,
live speech to text,2,170,56,1.55,I,live transcription app,ok,,,,,,,,,,
transcription app android,2,170,33,2.25,I,live transcription app,ok,,,,,,,,,,
voice to text app free,2,170,36,1.12,I,live transcription app,ok,,,,,,,,,,
app that translates voice into text,2,170,37,1.62,I,live transcription app,ok,,,,,,,,,,
speech to text converter app,2,170,45,1.62,I,live transcription app,ok,,,,,,,,,,
translate transcribe,2,170,44,1.66,I,live transcription app,ok,,,,,,,,,,
