keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
microsoft teams ai note taker,2,590,26,2.59,I,teams meeting notes,ok,,,,,,,,,,
teams ai meeting notes,2,590,20,2.47,I,teams meeting notes,ok,,,,,,,,,,
team meeting notes,2,390,22,3.18,I,teams meeting notes,ok,,,,,,,,,,
microsoft teams meeting notes,2,390,11,1.08,I,teams meeting notes,ok,,,,,,,,,,
team notes,2,320,12,5.73,I,teams meeting notes,ok,,,,,,,,,,
meeting notes in teams,2,320,7,2.25,I,teams meeting notes,ok,,,,,,,,,,
teams notes,2,320,8,5.73,I,teams meeting notes,ok,,,,,,,,,,
teams note,2,320,8,5.73,I,teams meeting notes,ok,,,,,,,,,,
microsoft teams note taker,2,210,14,2.92,I,teams meeting notes,ok,,,,,,,,,,
microsoft teams ai meeting notes,2,210,26,2.07,I,teams meeting notes,ok,,,,,,,,,,
automatic meeting notes in teams,2,140,15,1.92,I,teams meeting notes,ok,,,,,,,,,,
teams notetaker,2,140,13,2.85,I,teams meeting notes,ok,,,,,,,,,,
automated meeting notes in teams,2,140,23,1.92,I,teams meeting notes,ok,,,,,,,,,,
teams meeting minutes,2,110,18,1.47,I,teams meeting notes,ok,,,,,,,,,,
teams meeting notes template,2,90,26,1.4,I,teams meeting notes,ok,,,,,,,,,,
microsoft teams notes,2,90,8,3.15,I,teams meeting notes,ok,,,,,,,,,,
teams meeting notes taker,2,90,13,2.95,I,teams meeting notes,ok,,,,,,,,,,
teams meeting notes ai,2,90,34,2.93,I,teams meeting notes,ok,,,,,,,,,,
meeting notes teams,2,70,7,3.51,I,teams meeting notes,ok,,,,,,,,,,
notes in teams,2,70,8,2.34,I,teams meeting notes,ok,,,,,,,,,,
how to take meeting notes in teams,2,70,7,1.83,I,teams meeting notes,ok,,,,,,,,,,
ai teams meeting notes,2,70,32,3.17,I,teams meeting notes,ok,,,,,,,,,,
microsoft minutes,2,50,8,0,I,teams meeting notes,ok,,,,,,,,,,
microsoft teams meeting minutes,2,50,15,1.36,I,teams meeting notes,ok,,,,,,,,,,
meeting minutes outlook,2,50,7,0,I,teams meeting notes,ok,,,,,,,,,,
collaborative meeting notes,2,50,7,0,I,teams meeting notes,ok,,,,,,,,,,
teams note taking,2,50,13,1.82,I,teams meeting notes,ok,,,,,,,,,,
outlook meeting minutes,2,50,7,0,I,teams meeting notes,ok,,,,,,,,,,
meeting minutes in outlook,2,50,14,0,I,teams meeting notes,ok,,,,,,,,,,
ai meeting notes in teams,2,50,19,2.34,I,teams meeting notes,ok,,,,,,,,,,
microsoft meeting notes,2,40,8,1.78,I,teams meeting notes,ok,,,,,,,,,,
teams minutes,2,40,22,0,I,teams meeting notes,ok,,,,,,,,,,
microsoft teams meeting notes ai,2,40,26,2.29,I,teams meeting notes,ok,,,,,,,,,,
microsoft teams meeting agenda,2,30,13,0,I,teams meeting notes,ok,,,,,,,,,,
ms teams meeting notes,2,30,22,0,I,teams meeting notes,ok,,,,,,,,,,
meeting minutes in teams,2,30,15,2.55,I,teams meeting notes,ok,,,,,,,,,,
microsoft teams note taking,2,30,29,2.35,I,teams meeting notes,ok,,,,,,,,,,
how to take meeting minutes in teams,2,30,11,1.65,I,teams meeting notes,ok,,,,,,,,,,
sharepoint meeting notes,2,20,14,0,I,teams meeting notes,ok,,,,,,,,,,
notes teams,2,20,7,0,I,teams meeting notes,ok,,,,,,,,,,
notes on teams,2,20,7,0,I,teams meeting notes,ok,,,,,,,,,,
take meeting notes in teams,2,20,25,2.4,"I,N",teams meeting notes,ok,,,,,,,,,,
taking notes in teams,2,20,14,2.16,I,teams meeting notes,ok,,,,,,,,,,
ms teams notes,2,20,15,0,I,teams meeting notes,ok,,,,,,,,,,
microsoft meeting minutes,2,10,21,1.79,I,teams meeting notes,ok,,,,,,,,,,
notes team room,2,10,17,0,I,teams meeting notes,ok,,,,,,,,,,
notes teamroom calendar,2,10,14,0,I,teams meeting notes,ok,,,,,,,,,,
sharepoint meeting minutes web part,2,10,24,0,I,teams meeting notes,ok,,,,,,,,,,
meeting notes microsoft teams,2,10,22,0,I,teams meeting notes,ok,,,,,,,,,,
