keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
minutes,2,165000,87,2.55,I,how to write meeting minutes,ok,,,,,,,,,,
minutes template,2,22200,86,1.01,I,meeting minutes template,ok,,,,,,,,,,
meeting minutes template,2,18100,90,1.01,I,how to write meeting minutes,ok,,,,,,,,,,
meeting agenda template,2,14800,90,1,I,meeting notes template,ok,,,,,,,,,,
meeting notes template,2,6600,71,1.01,I,meeting minutes template,ok,,,,,,,,,,
meeting minutes,2,6600,68,1.94,I,meeting minutes template,ok,,,,,,,,,,
meeting minutes for,2,5700,69,1.94,I,meeting minutes template,ok,,,,,,,,,,
meeting agenda,2,3600,69,1.62,I,meeting notes template,ok,,,,,,,,,,
board meeting minutes,2,1000,61,1.81,I,meeting minutes template,ok,,,,,,,,,,
meeting template,2,810,35,1.39,I,meeting minutes template,ok,,,,,,,,,,
meetings minutes,2,740,15,1.94,I,meeting minutes template,ok,,,,,,,,,,
sample agenda,2,720,32,2.41,I,meeting notes template,ok,,,,,,,,,,
agenda templates,2,610,32,1,I,meeting notes template,ok,,,,,,,,,,
committee meeting minutes,2,590,23,1.64,I,meeting minutes template,ok,,,,,,,,,,
committee minutes,2,590,12,1.64,I,meeting minutes template,ok,,,,,,,,,,
meeting notes sample,2,590,29,1.15,I,meeting minutes template,ok,,,,,,,,,,
sample meeting notes,2,590,25,1.15,I,meeting minutes template,ok,,,,,,,,,,
meeting minutes template pdf,2,590,15,0.62,I,meeting minutes template,ok,,,,,,,,,,
meeting note sample,2,590,20,1.15,I,meeting minutes template,ok,,,,,,,,,,
meeting notes examples,2,590,34,1.15,I,meeting minutes template,ok,,,,,,,,,,
meeting notes samples,2,590,27,1.15,I,meeting minutes template,ok,,,,,,,,,,
minutes committee meeting,2,590,23,1.64,I,meeting minutes template,ok,,,,,,,,,,
minutes of committee meeting,2,590,12,1.64,I,meeting minutes template,ok,,,,,,,,,,
