keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
where the mountain meets the moon summary,2,260,27,0.24,I,meeting summary,ok,,,,,,,,,,
what is a debrief meeting,2,140,6,0,I,meeting debrief,ok,,,,,,,,,,
what is a debriefing meeting,2,140,13,0,I,meeting debrief,ok,,,,,,,,,,
how to write a meeting summary template,2,110,18,0.85,I,meeting summary,ok,,,,,,,,,,
how to write a meeting summary,2,50,8,0,I,meeting summary,ok,,,,,,,,,,
how to write meeting summary,2,50,19,0,I,meeting summary,ok,,,,,,,,,,
how to write summary of meeting,2,50,11,0,I,meeting summary,ok,,,,,,,,,,
what is meet joe black about summary,2,40,32,0,I,meeting summary,ok,,,,,,,,,,
where the mountain meets the moon chapter summary,2,30,32,0,I,meeting summary,ok,,,,,,,,,,
how to recap a meeting in an email,2,20,11,0,I,meeting recap,ok,,,,,,,,,,
here is the summary of our meeting,2,10,16,0,I,meeting summary,ok,,,,,,,,,,
when greek meets greek summary,2,10,7,0,I,meeting summary,ok,,,,,,,,,,
how to write a summary of meeting minutes,2,10,24,0,I,meeting summary,ok,,,,,,,,,,
when greek meets greek short story summary,2,10,14,0,I,meeting summary,ok,,,,,,,,,,
how to write a meeting summary email,2,10,26,0,I,meeting summary,ok,,,,,,,,,,
where the mountain meets the moon plot summary,2,10,22,0,I,meeting summary,ok,,,,,,,,,,
how to write summary email after meeting,2,10,26,0,I,meeting summary,ok,,,,,,,,,,
how to write a summary of a business meeting,2,10,25,0,I,meeting summary,ok,,,,,,,,,,
where the mountain meets the moon full summary,2,10,25,0,I,meeting summary,ok,,,,,,,,,,
how to write a meeting recap email,2,10,21,0,"I,N",meeting recap,ok,,,,,,,,,,
how to write a recap of a meeting,2,10,22,1.5,I,meeting recap,ok,,,,,,,,,,
how to lead a debrief meeting,2,10,9,0,I,meeting debrief,ok,,,,,,,,,,
how to conduct a debrief meeting,2,10,6,0,I,meeting debrief,ok,,,,,,,,,,
how to debrief a meeting,2,10,12,0,I,meeting debrief,ok,,,,,,,,,,
how to have a debriefing meeting,2,0,0,0,,meeting debrief,ok,,,,,,,,,,
how to conduct a debriefing meeting,2,0,0,0,,meeting debrief,ok,,,,,,,,,,
