keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
meeting minutes for,2,5700,69,1.94,I,meeting summary,ok,,,,,,,,,,
meeting notes,2,3200,71,3.85,I,meeting summary,ok,,,,,,,,,,
ai meeting note taker,2,3200,72,4.3,I,meeting summary,ok,,,,,,,,,,
ai meeting,2,1900,66,2.84,I,meeting summary,ok,,,,,,,,,,
meeting ai,2,1900,63,2.84,I,meeting summary,ok,,,,,,,,,,
summary ai,2,1300,68,1.3,"I,N",meeting summary,ok,,,,,,,,,,
meeting note taker,2,810,33,4.46,I,meeting summary,ok,,,,,,,,,,
ai meeting notes,2,810,54,3.3,I,meeting summary,ok,,,,,,,,,,
take meeting notes,2,660,44,3.3,I,meeting summary,ok,,,,,,,,,,
example of notes from a meeting,2,590,21,1.15,I,meeting summary,ok,,,,,,,,,,
record meeting minutes,2,480,38,3.19,I,meeting summary,ok,,,,,,,,,,
minutes of meeting recorder,2,480,44,3.19,I,meeting summary,ok,,,,,,,,,,
taking minutes of meeting,2,480,18,1.18,I,meeting summary,ok,,,,,,,,,,
meeting note,2,480,39,3.85,I,meeting summary,ok,,,,,,,,,,
record meeting notes,2,480,42,3.19,I,meeting summary,ok,,,,,,,,,,
recording meeting notes,2,480,41,3.19,I,meeting summary,ok,,,,,,,,,,
meeting recap,2,390,27,3.36,I,meeting summary,ok,,,,,,,,,,
meeting recap format,2,390,18,1.65,I,meeting summary,ok,,,,,,,,,,
meeting recap template,2,390,25,1.65,I,meeting summary,ok,,,,,,,,,,
meeting summary template,2,390,10,1.45,I,meeting summary,ok,,,,,,,,,,
meetings summary,2,390,33,3.47,I,meeting summary,ok,,,,,,,,,,
recap meeting,2,390,21,3.36,I,meeting summary,ok,,,,,,,,,,
meeting synopsis template,2,390,12,1.45,I,meeting summary,ok,,,,,,,,,,
recap of a meeting,2,390,15,3.36,I,meeting summary,ok,,,,,,,,,,
meeting recap templates,2,390,25,1.65,I,meeting summary,ok,,,,,,,,,,
meeting summaries,2,390,50,3.47,I,meeting summary,ok,,,,,,,,,,
meeting summary templates,2,390,9,1.45,I,meeting summary,ok,,,,,,,,,,
example of meeting minutes templates,2,390,19,0.44,I,meeting summary,ok,,,,,,,,,,
summary of meeting,2,390,25,3.47,I,meeting summary,ok,,,,,,,,,,
summary of meetings,2,390,32,3.47,I,meeting summary,ok,,,,,,,,,,
summary of meeting template,2,390,14,1.45,I,meeting summary,ok,,,,,,,,,,
summary of the meeting,2,390,21,3.47,I,meeting summary,ok,,,,,,,,,,
template for meeting summary,2,390,22,1.45,I,meeting summary,ok,,,,,,,,,,
template meeting summary,2,390,17,1.45,I,meeting summary,ok,,,,,,,,,,
meeting recaps,2,390,33,3.36,I,meeting summary,ok,,,,,,,,,,
zoom ai notes,2,390,26,2.83,I,meeting summary,ok,,,,,,,,,,
summary meeting template,2,390,12,1.45,I,meeting summary,ok,,,,,,,,,,
minutes notes,2,320,50,2.39,I,meeting summary,ok,,,,,,,,,,
minutes note,2,320,43,2.39,I,meeting summary,ok,,,,,,,,,,
template minutes meeting,2,320,19,1.01,I,meeting summary,ok,,,,,,,,,,
zoom ai meeting notes,2,320,39,2.29,I,meeting summary,ok,,,,,,,,,,
transcription summary,2,260,19,1.55,I,meeting summary,ok,,,,,,,,,,
ai meeting transcription,2,260,56,3.58,I,meeting summary,ok,,,,,,,,,,
meeting minutes ai,2,260,47,3.5,I,meeting summary,ok,,,,,,,,,,
format meeting notes,2,260,27,1.36,I,meeting summary,ok,,,,,,,,,,
summary transcription,2,260,24,1.55,I,meeting summary,ok,,,,,,,,,,
taking minutes in a meeting template,2,260,19,0.68,I,meeting summary,ok,,,,,,,,,,
taking minutes templates,2,260,16,0.68,I,meeting summary,ok,,,,,,,,,,
template for taking minutes,2,260,14,0.68,I,meeting summary,ok,,,,,,,,,,
ai meeting transcript,2,260,62,3.58,I,meeting summary,ok,,,,,,,,,,
ai for meeting minutes,2,210,41,2.99,I,meeting summary,ok,,,,,,,,,,
ai meeting summary,2,210,37,3.37,I,meeting summary,ok,,,,,,,,,,
ai meeting summaries,2,210,46,3.37,I,meeting summary,ok,,,,,,,,,,
meeting takeaways,2,170,11,0,I,meeting summary,ok,,,,,,,,,,
transcribing minutes,2,170,47,3.41,I,meeting summary,ok,,,,,,,,,,
meeting minutes transcription,2,170,46,3.41,I,meeting summary,ok,,,,,,,,,,
transcribe meeting notes,2,170,56,3.41,I,meeting summary,ok,,,,,,,,,,
transcribe meeting minutes,2,170,43,3.41,I,meeting summary,ok,,,,,,,,,,
transcribing minutes of meetings,2,170,33,3.41,I,meeting summary,ok,,,,,,,,,,
meeting takeaway,2,170,11,0,I,meeting summary,ok,,,,,,,,,,
take away from meeting,2,170,6,0,I,meeting summary,ok,,,,,,,,,,
ai tools for meeting notes,2,170,45,3.21,I,meeting summary,ok,,,,,,,,,,
ai for meeting notes,2,170,57,3.85,I,meeting summary,ok,,,,,,,,,,
take meeting minutes,2,150,39,1.69,I,meeting summary,ok,,,,,,,,,,
meeting report,2,140,9,8.77,I,meeting summary,ok,,,,,,,,,,
agenda meeting minutes template,2,140,19,1.2,I,meeting summary,ok,,,,,,,,,,
meeting recap example,2,140,11,1.69,I,meeting summary,ok,,,,,,,,,,
meeting recap sample,2,140,14,1.69,I,meeting summary,ok,,,,,,,,,,
meetings report,2,140,14,8.77,I,meeting summary,ok,,,,,,,,,,
recap meeting format,2,140,15,1.69,I,meeting summary,ok,,,,,,,,,,
recap meeting template,2,140,18,1.69,I,meeting summary,ok,,,,,,,,,,
report from meeting,2,140,9,8.77,I,meeting summary,ok,,,,,,,,,,
report on a meeting,2,140,9,8.77,I,meeting summary,ok,,,,,,,,,,
report on meeting,2,140,6,8.77,I,meeting summary,ok,,,,,,,,,,
ai for meetings,2,140,60,4.17,I,meeting summary,ok,,,,,,,,,,
make minutes of meeting,2,140,36,1.77,I,meeting summary,ok,,,,,,,,,,
meeting reports,2,140,21,8.77,I,meeting summary,ok,,,,,,,,,,
meeting resume,2,140,21,0,I,meeting summary,ok,,,,,,,,,,
minutes forms,2,140,24,1.38,I,meeting summary,ok,,,,,,,,,,
recap meeting sample,2,140,14,1.69,I,meeting summary,ok,,,,,,,,,,
report for meeting,2,140,6,8.77,I,meeting summary,ok,,,,,,,,,,
report from the meeting,2,140,9,8.77,I,meeting summary,ok,,,,,,,,,,
report of a meeting,2,140,10,8.77,I,meeting summary,ok,,,,,,,,,,
report of the meeting,2,140,6,8.77,I,meeting summary,ok,,,,,,,,,,
report on the meeting,2,140,9,8.77,I,meeting summary,ok,,,,,,,,,,
reports of meeting,2,140,10,8.77,I,meeting summary,ok,,,,,,,,,,
meeting summary ai,2,140,34,3.59,I,meeting summary,ok,,,,,,,,,,
report about meeting,2,140,11,8.77,I,meeting summary,ok,,,,,,,,,,
meeting transcription ai,2,140,62,4.25,I,meeting summary,ok,,,,,,,,,,
minute minutes template,2,120,26,1.01,I,meeting summary,ok,,,,,,,,,,
zoom meeting minutes,2,110,40,2.9,I,meeting summary,ok,,,,,,,,,,
how to write a meeting summary template,2,110,18,0.85,I,meeting summary,ok,,,,,,,,,,
ai minutes of meeting,2,110,54,2.74,I,meeting summary,ok,,,,,,,,,,
