keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
scribe ai,3,8100,67,3.43,I,medical transcription app,ok,,,,,,,,,,
clinical notes,3,6600,57,3.77,I,clinical notes ai,ok,,,,,,,,,,
ai medical scribe,3,4400,60,8.03,I,medical transcription app,ok,,,,,,,,,,
1 on 1,3,4400,61,3.93,I,one on one meeting notes,ok,,,,,,,,,,
clinical note,3,3100,59,3.77,I,clinical notes ai,ok,,,,,,,,,,
ai scribe,3,2400,67,5.51,I,medical transcription app,ok,,,,,,,,,,
one on one meeting,3,2400,69,0.38,I,one on one meeting notes,ok,,,,,,,,,,
chart notes,3,2400,61,0.31,"I,N",clinical notes ai,ok,,,,,,,,,,
clinic note,3,1300,51,3.77,"I,N",clinical notes ai,ok,,,,,,,,,,
ai scribe medical,3,590,48,6.07,I,medical transcription app,ok,,,,,,,,,,
best ai medical scribe,3,590,30,8.5,I,medical transcription app,ok,,,,,,,,,,
ai doctors note,3,590,16,3.02,I,medical transcription app,ok,,,,,,,,,,
one on one meeting agenda,3,590,27,0.16,I,one on one meeting notes,ok,,,,,,,,,,
one on one questions,3,590,15,0.1,I,one on one meeting notes,ok,,,,,,,,,,
one on one template,3,590,6,1.58,I,one on one meeting notes,ok,,,,,,,,,,
1-1 meeting,3,590,17,0,I,one on one meeting notes,ok,,,,,,,,,,
one to one meeting agenda,3,590,27,0.16,I,one on one meeting notes,ok,,,,,,,,,,
one on one agenda,3,590,15,0.16,I,one on one meeting notes,ok,,,,,,,,,,
1 on 1 agenda,3,590,20,0.16,I,one on one meeting notes,ok,,,,,,,,,,
one one meeting agenda,3,590,20,0.16,I,one on one meeting notes,ok,,,,,,,,,,
one to one questions,3,590,9,0.1,I,one on one meeting notes,ok,,,,,,,,,,
agenda for one on one meetings,3,590,9,0.16,I,one on one meeting notes,ok,,,,,,,,,,
1 to 1 questions,3,590,9,0.1,I,one on one meeting notes,ok,,,,,,,,,,
1 on 1 templates,3,590,10,1.58,I,one on one meeting notes,ok,,,,,,,,,,
one on one meetings agenda,3,590,22,0.16,I,one on one meeting notes,ok,,,,,,,,,,
one on ones template,3,590,11,1.58,I,one on one meeting notes,ok,,,,,,,,,,
agenda for 1 on 1 meeting,3,590,20,0.16,I,one on one meeting notes,ok,,,,,,,,,,
agenda for one on one meeting,3,590,15,0.16,I,one on one meeting notes,ok,,,,,,,,,,
agenda for one to one meeting,3,590,15,0.16,I,one on one meeting notes,ok,,,,,,,,,,
1on1 meeting,3,590,33,0,I,one on one meeting notes,ok,,,,,,,,,,
1on1 meetings,3,590,26,0,I,one on one meeting notes,ok,,,,,,,,,,
1 1 meeting,3,590,17,0,I,one on one meeting notes,ok,,,,,,,,,,
1 on 1 template,3,590,13,1.58,I,one on one meeting notes,ok,,,,,,,,,,
ai for therapist,3,590,50,2.59,I,clinical notes ai,ok,,,,,,,,,,
1-1 template,3,480,13,1.8,I,one on one meeting notes,ok,,,,,,,,,,
1 on 1 template meeting,3,480,6,1.7,I,one on one meeting notes,ok,,,,,,,,,,
weekly one,3,480,12,0,I,one on one meeting notes,ok,,,,,,,,,,
1 1s,3,480,23,0,I,one on one meeting notes,ok,,,,,,,,,,
1 1 template,3,480,13,1.8,I,one on one meeting notes,ok,,,,,,,,,,
1 1 meeting template,3,480,13,1.7,I,one on one meeting notes,ok,,,,,,,,,,
patient note,3,480,31,0.27,I,clinical notes ai,ok,,,,,,,,,,
patient notes,3,480,45,0.27,I,clinical notes ai,ok,,,,,,,,,,
patients notes,3,480,32,0.27,"I,N",clinical notes ai,ok,,,,,,,,,,
one on one meetings,3,470,28,0.38,I,one on one meeting notes,ok,,,,,,,,,,
one to one meetings,3,470,26,0.38,I,one on one meeting notes,ok,,,,,,,,,,
free ai medical scribe,3,390,41,7.78,I,medical transcription app,ok,,,,,,,,,,
one on one meeting agenda template,3,390,7,1.43,I,one on one meeting notes,ok,,,,,,,,,,
one on ones,3,390,15,0.73,I,one on one meeting notes,ok,,,,,,,,,,
1 on 1 agenda template,3,390,10,1.43,I,one on one meeting notes,ok,,,,,,,,,,
1 on 1 meeting agenda template,3,390,9,1.43,I,one on one meeting notes,ok,,,,,,,,,,
one on one agenda template,3,390,9,1.43,I,one on one meeting notes,ok,,,,,,,,,,
one on one meeting agenda sample,3,390,13,1.43,I,one on one meeting notes,ok,,,,,,,,,,
sample one on one meeting agenda,3,390,13,1.43,I,one on one meeting notes,ok,,,,,,,,,,
one one one meeting agenda template,3,390,7,1.43,I,one on one meeting notes,ok,,,,,,,,,,
one to one agenda template,3,390,7,1.43,I,one on one meeting notes,ok,,,,,,,,,,
one to one meeting agenda template,3,390,18,1.43,I,one on one meeting notes,ok,,,,,,,,,,
one to ones,3,390,20,0.73,I,one on one meeting notes,ok,,,,,,,,,,
ai therapy notes,3,390,37,9.62,I,clinical notes ai,ok,,,,,,,,,,
medical dictation,3,320,18,5.93,I,medical transcription app,ok,,,,,,,,,,
healthcare transcription,3,320,36,5.93,"L,C",medical transcription app,ok,,,,,,,,,,
scribe notes,3,320,28,4.65,"I,N",medical transcription app,ok,,,,,,,,,,
transcriber medical,3,320,31,5.93,"L,C",medical transcription app,ok,,,,,,,,,,
medical ai scribe,3,320,46,8.03,I,medical transcription app,ok,,,,,,,,,,
one on one conversation,3,320,17,0,I,one on one meeting notes,ok,,,,,,,,,,
manager tools one on one template,3,320,9,3.27,I,one on one meeting notes,ok,,,,,,,,,,
manager agenda,3,320,22,11.53,I,one on one meeting notes,ok,,,,,,,,,,
one to one conversation,3,320,23,0,I,one on one meeting notes,ok,,,,,,,,,,
one on one template manager tools,3,320,9,3.27,I,one on one meeting notes,ok,,,,,,,,,,
one to one document,3,320,6,0,I,one on one meeting notes,ok,,,,,,,,,,
one on one document,3,320,6,0,I,one on one meeting notes,ok,,,,,,,,,,
blueprint therapy notes,3,320,17,6.6,"I,N",clinical notes ai,ok,,,,,,,,,,
health notes,3,290,43,0.75,I,clinical notes ai,ok,,,,,,,,,,
health note,3,290,17,0.75,"I,N",clinical notes ai,ok,,,,,,,,,,
doctor dictation,3,260,16,5.51,I,medical transcription app,ok,,,,,,,,,,
dictation for doctors,3,260,9,5.51,I,medical transcription app,ok,,,,,,,,,,
scribe transcription,3,260,37,1.77,I,medical transcription app,ok,,,,,,,,,,
ai scribe software,3,260,36,7,I,medical transcription app,ok,,,,,,,,,,
one meeting,3,260,11,5.16,I,one on one meeting notes,ok,,,,,,,,,,
one on one with boss,3,260,10,0.02,I,one on one meeting notes,ok,,,,,,,,,,
one on one with manager,3,260,22,0.02,I,one on one meeting notes,ok,,,,,,,,,,
manager one on one,3,260,22,0.02,I,one on one meeting notes,ok,,,,,,,,,,
management one on one,3,260,20,0.02,I,one on one meeting notes,ok,,,,,,,,,,
management one to one,3,260,24,0.02,I,one on one meeting notes,ok,,,,,,,,,,
one on ones with manager,3,260,23,0.02,I,one on one meeting notes,ok,,,,,,,,,,
one on one with supervisor,3,260,15,0.02,I,one on one meeting notes,ok,,,,,,,,,,
one on one with director,3,260,18,0.02,I,one on one meeting notes,ok,,,,,,,,,,
onsite meeting,3,260,7,0,I,one on one meeting notes,ok,,,,,,,,,,
one to one with manager,3,260,23,0.02,I,one on one meeting notes,ok,,,,,,,,,,
