keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
record webex meeting locally,4,10,7,0,I,local meeting recorder,ok,,,,,,,,,,
transcribe,4,33100,85,1.1,I,offline transcription,ok,,,,,,,,,,
transcription app,4,3200,67,2.24,I,offline transcription,ok,,,,,,,,,,
text transcription,4,3200,65,1.27,I,offline transcription,ok,,,,,,,,,,
transcribe app,4,2900,73,2.24,I,offline transcription,ok,,,,,,,,,,
transcription apps,4,2400,67,2.24,I,offline transcription,ok,,,,,,,,,,
ai notetaker,4,2400,74,3.2,I,offline transcription,ok,,,,,,,,,,
live transcription,4,880,38,1.58,I,offline transcription,ok,,,,,,,,,,
real time transcription software,4,590,30,0,I,offline transcription,ok,,,,,,,,,,
transcription app iphone,4,590,40,1.72,I,offline transcription,ok,,,,,,,,,,
google audio to text transcription,4,590,24,1.82,"I,N",offline transcription,ok,,,,,,,,,,
transcribers online,4,590,63,0.98,I,offline transcription,ok,,,,,,,,,,
transcribe audio recording to text software,4,590,46,2.14,I,offline transcription,ok,,,,,,,,,,
transcribe app iphone,4,590,39,1.72,I,offline transcription,ok,,,,,,,,,,
transcription web,4,590,53,0.61,I,offline transcription,ok,,,,,,,,,,
transcribe app for iphone,4,590,36,1.72,I,offline transcription,ok,,,,,,,,,,
transcribe apps iphone,4,590,36,1.72,I,offline transcription,ok,,,,,,,,,,
software for transcribing audio to text,4,590,57,2.14,I,offline transcription,ok,,,,,,,,,,
recording note,4,590,58,1.58,I,offline transcription,ok,,,,,,,,,,
transcriber website,4,590,69,1.28,I,offline transcription,ok,,,,,,,,,,
transcription software from audio to text,4,590,41,2.14,I,offline transcription,ok,,,,,,,,,,
transcribing website,4,590,63,1.28,I,offline transcription,ok,,,,,,,,,,
app that transcribes audio to text,4,480,36,2.89,I,offline transcription,ok,,,,,,,,,,
software for transcribing video,4,480,50,2.48,I,offline transcription,ok,,,,,,,,,,
video transcribe software,4,480,43,2.48,I,offline transcription,ok,,,,,,,,,,
ai meeting recorder,4,480,40,3.17,I,offline transcription,ok,,,,,,,,,,
dictation iphone,4,470,30,0.69,I,offline transcription,ok,,,,,,,,,,
iphone dictate,4,470,26,0.69,I,offline transcription,ok,,,,,,,,,,
audio to text app,4,390,48,2.13,I,offline transcription,ok,,,,,,,,,,
free speech to text app,4,390,47,1.2,I,offline transcription,ok,,,,,,,,,,
sound to text app,4,390,46,2.13,I,offline transcription,ok,,,,,,,,,,
audio text app,4,390,57,2.13,I,offline transcription,ok,,,,,,,,,,
write transcription,4,390,61,1.07,I,offline transcription,ok,,,,,,,,,,
transcription of speech,4,390,56,1.73,I,offline transcription,ok,,,,,,,,,,
transcription writer,4,390,57,1.07,"L,C",offline transcription,ok,,,,,,,,,,
audio texting app,4,390,37,2.13,I,offline transcription,ok,,,,,,,,,,
vibe transcription,4,390,17,2.46,I,offline transcription,ok,,,,,,,,,,
program for transcribing audio,4,320,46,2.67,I,offline transcription,ok,,,,,,,,,,
voice note taker,4,320,50,2.14,I,offline transcription,ok,,,,,,,,,,
whisper notes,4,320,22,0.89,I,offline transcription,ok,,,,,,,,,,
application to transcribe audio,4,320,44,2.67,I,offline transcription,ok,,,,,,,,,,
notes voice to text,4,320,49,1.28,I,offline transcription,ok,,,,,,,,,,
real-time transcription,4,320,37,2.49,I,offline transcription,ok,,,,,,,,,,
free voice texting app,4,260,38,1.2,I,offline transcription,ok,,,,,,,,,,
note transcriber,4,260,46,2.08,I,offline transcription,ok,,,,,,,,,,
phone transcription,4,260,45,2.45,I,offline transcription,ok,,,,,,,,,,
speech notes app,4,260,18,1.13,I,offline transcription,ok,,,,,,,,,,
transcription platform,4,260,59,2.6,I,offline transcription,ok,,,,,,,,,,
transcription platforms,4,260,53,2.6,I,offline transcription,ok,,,,,,,,,,
transcript typer,4,260,62,0.77,I,offline transcription,ok,,,,,,,,,,
conversation transcriptions,4,260,37,1.67,I,offline transcription,ok,,,,,,,,,,
note dictation,4,260,46,1.63,I,offline transcription,ok,,,,,,,,,,
audio typer,4,260,63,1.43,I,offline transcription,ok,,,,,,,,,,
software to transcribe audio to text,4,210,44,2.74,I,offline transcription,ok,,,,,,,,,,
transcript reader,4,210,55,1.39,I,offline transcription,ok,,,,,,,,,,
google voice transcribe,4,210,29,1.98,I,offline transcription,ok,,,,,,,,,,
free transcription apps,4,210,38,1.99,I,offline transcription,ok,,,,,,,,,,
transcribing app free,4,210,33,1.99,I,offline transcription,ok,,,,,,,,,,
dictation transcription,4,170,54,1.82,"L,C",offline transcription,ok,,,,,,,,,,
free audio transcription software,4,170,41,2.46,I,offline transcription,ok,,,,,,,,,,
transcribe dictation,4,170,66,1.82,I,offline transcription,ok,,,,,,,,,,
app that turns voice into text,4,170,44,1.62,I,offline transcription,ok,,,,,,,,,,
dictation transcriber,4,170,54,1.82,"L,C",offline transcription,ok,,,,,,,,,,
live speech to text,4,170,56,1.55,I,offline transcription,ok,,,,,,,,,,
transcription app android,4,170,33,2.25,I,offline transcription,ok,,,,,,,,,,
voice to text app free,4,170,36,1.12,I,offline transcription,ok,,,,,,,,,,
audio transcription software free,4,170,51,2.46,I,offline transcription,ok,,,,,,,,,,
voice transcription program,4,170,61,2.21,I,offline transcription,ok,,,,,,,,,,
transcribing conversations,4,170,61,2.24,I,offline transcription,ok,,,,,,,,,,
mem notes,4,170,25,3.55,"I,N",offline transcription,ok,,,,,,,,,,
best software for audio transcription,4,170,53,4.93,I,offline transcription,ok,,,,,,,,,,
voice to text free app,4,170,43,1.12,I,offline transcription,ok,,,,,,,,,,
record text,4,170,61,1.2,I,offline transcription,ok,,,,,,,,,,
sound to text transcription,4,150,60,1.48,I,offline transcription,ok,,,,,,,,,,
free voice transcription,4,140,52,1.73,I,offline transcription,ok,,,,,,,,,,
voice to text transcription app,4,140,46,2.14,I,offline transcription,ok,,,,,,,,,,
voice transcription freeware,4,140,49,1.73,I,offline transcription,ok,,,,,,,,,,
free app to transcribe audio to text,4,140,42,2.15,I,offline transcription,ok,,,,,,,,,,
transcription of notes,4,140,53,2.09,I,offline transcription,ok,,,,,,,,,,
transcribing notes,4,140,53,2.09,I,offline transcription,ok,,,,,,,,,,
program to transcribe audio to text,4,140,47,2.49,I,offline transcription,ok,,,,,,,,,,
software that transcribes audio to text,4,140,51,2.49,I,offline transcription,ok,,,,,,,,,,
text recording,4,140,68,1.81,I,offline transcription,ok,,,,,,,,,,
software that transcription audio to text,4,140,44,2.49,I,offline transcription,ok,,,,,,,,,,
audio to text software,4,110,43,2.94,I,offline transcription,ok,,,,,,,,,,
audio text software,4,110,52,2.94,I,offline transcription,ok,,,,,,,,,,
speech recognition transcription software,4,110,56,0,I,offline transcription,ok,,,,,,,,,,
video transcription app,4,110,51,2.46,I,offline transcription,ok,,,,,,,,,,
transcribe notes,4,110,55,2.12,I,offline transcription,ok,,,,,,,,,,
audio transcription app free,4,110,39,2.33,I,offline transcription,ok,,,,,,,,,,
transcribe video app,4,110,36,2.46,I,offline transcription,ok,,,,,,,,,,
transcript programs,4,110,45,2.55,"L,C",offline transcription,ok,,,,,,,,,,
audio to text programs,4,110,54,2.94,I,offline transcription,ok,,,,,,,,,,
app for transcribing video,4,110,49,2.46,I,offline transcription,ok,,,,,,,,,,
video transcript app,4,110,47,2.46,I,offline transcription,ok,,,,,,,,,,
voice into text,4,100,66,1.13,I,offline transcription,ok,,,,,,,,,,
transcription voice to text,4,90,67,1.46,I,offline transcription,ok,,,,,,,,,,
best app for transcribing audio,4,90,38,3.4,I,offline transcription,ok,,,,,,,,,,
transcription software online,4,90,54,2.64,I,offline transcription,ok,,,,,,,,,,
transcription voice,4,90,55,1.44,I,offline transcription,ok,,,,,,,,,,
notetaking application,4,90,44,2.03,I,offline transcription,ok,,,,,,,,,,
offline transcription software,4,30,9,2,I,offline transcription,ok,,,,,,,,,,
medical transcription offline work,4,10,26,0,"L,C",offline transcription,ok,,,,,,,,,,
offline home based medical transcription jobs,4,10,22,0,I,offline transcription,ok,,,,,,,,,,
offline transcription jobs,4,10,42,0,"I,N",offline transcription,ok,,,,,,,,,,
offline medical transcription work from home,4,10,28,0,I,offline transcription,ok,,,,,,,,,,
medical transcription offline work from home,4,10,25,0,I,offline transcription,ok,,,,,,,,,,
transcription offline,4,0,10,0,I,offline transcription,ok,,,,,,,,,,
offline dictation software,4,10,38,0,I,offline dictation,ok,,,,,,,,,,
dictate windows offline,4,0,20,0,I,offline dictation,ok,,,,,,,,,,
offline audio to text converter,4,10,10,1.21,I,offline audio to text,ok,,,,,,,,,,
audio to text converter offline,4,10,7,0,I,offline audio to text,ok,,,,,,,,,,
