keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
ai note taker,1,27100,87,3.12,I,best meeting recorder,ok,,,,,,,,,,
ai note taking,1,14800,90,3.12,I,best meeting recorder,ok,,,,,,,,,,
ai note taking app,1,3600,63,3.16,I,best meeting recorder,ok,,,,,,,,,,
ai meeting note taker,1,3200,72,4.3,I,best meeting recorder,ok,,,,,,,,,,
how to turn off text to speech,1,3100,71,0,I,speech to text,ok,,,,,,,,,,
ai meeting assistant,1,2900,69,4.04,I,best meeting recorder,ok,,,,,,,,,,
ai note-taking,1,2400,71,3.12,I,best meeting recorder,ok,,,,,,,,,,
ai notetaker,1,2400,74,3.2,I,best meeting recorder,ok,,,,,,,,,,
ai meeting,1,1900,66,2.84,I,best meeting recorder,ok,,,,,,,,,,
best ai note taking app,1,1900,71,2.66,I,best meeting recorder,ok,,,,,,,,,,
meeting ai,1,1900,63,2.84,I,best meeting recorder,ok,,,,,,,,,,
meeting recording,1,1800,70,3.59,I,best meeting recorder,ok,,,,,,,,,,
record a meeting,1,1800,71,3.59,I,best meeting recorder,ok,,,,,,,,,,
note taking ai,1,1600,69,3.03,I,best meeting recorder,ok,,,,,,,,,,
best voice recorder,1,1300,64,0.4,I,best meeting recorder,ok,,,,,,,,,,
meeting recorder,1,1300,64,3.59,I,best meeting recorder,ok,,,,,,,,,,
best ai note taker,1,1300,70,2.07,I,best meeting recorder,ok,,,,,,,,,,
note taker ai,1,1300,71,2.94,I,best meeting recorder,ok,,,,,,,,,,
ai notetaking,1,1300,72,3.12,I,best meeting recorder,ok,,,,,,,,,,
ai voice recorder,1,1100,63,1.29,I,best meeting recorder,ok,,,,,,,,,,
meeting note taker,1,810,33,4.46,I,best meeting recorder,ok,,,,,,,,,,
ai meeting notes,1,810,54,3.3,I,best meeting recorder,ok,,,,,,,,,,
free ai note taker,1,740,44,2.42,I,best meeting recorder,ok,,,,,,,,,,
take meeting notes,1,660,44,3.3,I,best meeting recorder,ok,,,,,,,,,,
record meeting,1,610,40,3.59,I,best meeting recorder,ok,,,,,,,,,,
how to do speech to text on mac,1,590,16,1.6,I,speech to text,ok,,,,,,,,,,
how to turn off text to speech on chromebook,1,590,18,0,I,speech to text,ok,,,,,,,,,,
how to use speech to text on mac,1,590,20,1.6,I,speech to text,ok,,,,,,,,,,
is text to speech ai,1,590,59,0,I,speech to text,ok,,,,,,,,,,
best digital audio recorder,1,590,23,0.36,T,best meeting recorder,ok,,,,,,,,,,
best digital recorder,1,590,24,0.36,T,best meeting recorder,ok,,,,,,,,,,
best digital recorders,1,590,23,0.36,T,best meeting recorder,ok,,,,,,,,,,
best digital voice recorder,1,590,30,0.36,I,best meeting recorder,ok,,,,,,,,,,
best digital voice recorders,1,590,21,0.36,T,best meeting recorder,ok,,,,,,,,,,
voice recorders,1,590,17,0.44,"L,T",best meeting recorder,ok,,,,,,,,,,
