keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
what is stt tax,1,320,16,0,I,what is stt,ok,,,,,,,,,,
what is the purpose of the minutes of a meeting,1,70,14,0.04,I,what is meeting minutes,ok,,,,,,,,,,
what is or stt wages in box 14,1,40,12,0,I,what is stt,ok,,,,,,,,,,
what is text to speech on kindle,1,20,6,0,I,what is speech to text,ok,,,,,,,,,,
what is text to speech technology,1,20,37,0,I,what is speech to text,ok,,,,,,,,,,
what is a braille notetaker,1,10,5,0,I,what is a notetaker,ok,,,,,,,,,,
what is text to speech gps,1,10,25,0,I,what is speech to text,ok,,,,,,,,,,
what is text to speech on android,1,10,0,0,,what is speech to text,ok,,,,,,,,,,
what is text to speech output,1,10,50,0,I,what is speech to text,ok,,,,,,,,,,
what is text to speech kindle,1,10,0,0,,what is speech to text,ok,,,,,,,,,,
what is text to speech in android,1,10,21,0,I,what is speech to text,ok,,,,,,,,,,
what is google text to speech used for,1,10,30,0,I,what is speech to text,ok,,,,,,,,,,
what is text to speech for gps,1,10,0,0,,what is speech to text,ok,,,,,,,,,,
what is text to speech on gps,1,10,13,0,I,what is speech to text,ok,,,,,,,,,,
what is a meeting minute,1,10,31,0.04,I,what is meeting minutes,ok,,,,,,,,,,
what is minutes of meeting sample,1,10,40,0,"I,N",what is meeting minutes,ok,,,,,,,,,,
what is the purpose of taking minutes at a meeting,1,10,26,0,I,what is meeting minutes,ok,,,,,,,,,,
what is meeting minutes and agenda,1,10,0,0,,what is meeting minutes,ok,,,,,,,,,,
what is meeting minutes report,1,10,23,0,I,what is meeting minutes,ok,,,,,,,,,,
what is the meaning of minutes of meeting,1,10,19,0,I,what is meeting minutes,ok,,,,,,,,,,
what is minutes of meeting means,1,10,25,0,I,what is meeting minutes,ok,,,,,,,,,,
what is the meaning of minutes of meeting in hindi,1,10,0,0,,what is meeting minutes,ok,,,,,,,,,,
what is minutes of meeting,1,10,7,0.04,I,what is meeting minutes,ok,,,,,,,,,,
what is the purpose of taking minutes in a meeting,1,10,16,0,I,what is meeting minutes,ok,,,,,,,,,,
what is taking minutes during a meeting,1,10,16,0,I,what is meeting minutes,ok,,,,,,,,,,
what is stt welding,1,10,5,0,I,what is stt,ok,,,,,,,,,,
what is stt charges,1,10,16,0,"I,N",what is stt,ok,,,,,,,,,,
what is an action item,1,10,22,0,I,what is action items,featured_snippet,,,,,,,,,,
what is an action item in business,1,10,21,0,I,what is action items,featured_snippet,,,,,,,,,,
what is text to speech in gps,1,0,0,0,,what is speech to text,ok,,,,,,,,,,
what is text to speech in a gps,1,0,0,0,,what is speech to text,ok,,,,,,,,,,
what is text to speech on kindle fire,1,0,0,0,,what is speech to text,ok,,,,,,,,,,
what is text to speech on a gps,1,0,0,0,,what is speech to text,ok,,,,,,,,,,
what is text to speech on garmin gps,1,0,0,0,,what is speech to text,ok,,,,,,,,,,
