keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
what is a braille notetaker,1,10,5,0,I,what is a notetaker,ok,,,,,,,,,,
text the speech,1,165000,90,0.2,I,what is speech to text,ok,,,,,,,,,,
speak to text,1,33100,94,1.13,I,what is speech to text,ok,,,,,,,,,,
dictation,1,27100,85,1.54,I,what is speech to text,ok,,,,,,,,,,
transcribe audio to text,1,22200,86,1.48,I,what is speech to text,ok,,,,,,,,,,
voice to text,1,22200,94,1.1,I,what is speech to text,ok,,,,,,,,,,
message to text,1,18100,84,0.56,I,what is speech to text,ok,,,,,,,,,,
speech-to-text,1,14800,95,0,I,what is speech to text,ok,,,,,,,,,,
transcript audio,1,14800,82,1.26,I,what is speech to text,ok,,,,,,,,,,
audio to text,1,12100,75,0.9,I,what is speech to text,ok,,,,,,,,,,
audio to text transcription,1,12100,90,1.48,I,what is speech to text,ok,,,,,,,,,,
voice typing,1,9900,74,0.52,I,what is speech to text,ok,,,,,,,,,,
transcribe audio to text free,1,8100,69,1.49,I,what is speech to text,ok,,,,,,,,,,
audio file to text,1,5700,65,0.9,I,what is speech to text,ok,,,,,,,,,,
audio to text converter,1,5700,59,1.04,I,what is speech to text,ok,,,,,,,,,,
text to talk,1,3600,65,0.02,I,what is speech to text,ok,,,,,,,,,,
voice and text,1,3600,68,1.1,I,what is speech to text,ok,,,,,,,,,,
voice text,1,3600,69,0.44,I,what is speech to text,ok,,,,,,,,,,
free audio transcription,1,3200,55,1.51,I,what is speech to text,ok,,,,,,,,,,
text transcription,1,3200,65,1.27,I,what is speech to text,ok,,,,,,,,,,
google speech to text,1,2900,75,1.52,"I,N",what is speech to text,ok,,,,,,,,,,
speech to text free,1,2900,66,1.17,I,what is speech to text,ok,,,,,,,,,,
talking to text,1,2900,74,0.76,I,what is speech to text,ok,,,,,,,,,,
audio into text,1,2400,61,0.9,I,what is speech to text,ok,,,,,,,,,,
free transcribe audio to text,1,2400,53,1.75,I,what is speech to text,ok,,,,,,,,,,
speech to text app,1,2400,70,1.4,I,what is speech to text,ok,,,,,,,,,,
speech recognition,1,1900,77,1.56,I,what is speech to text,ok,,,,,,,,,,
speech to text software,1,1900,65,1.65,I,what is speech to text,ok,,,,,,,,,,
talk to text,1,1900,73,0.46,I,what is speech to text,ok,,,,,,,,,,
how to text to speech,1,1900,69,0.88,I,what is speech to text,ok,,,,,,,,,,
convert audio to text,1,1800,63,1.37,I,what is speech to text,ok,,,,,,,,,,
