keyword,priority,volume,kd,cpc,intent,seed,flag,published,Ссылка конкурента 1,Ссылка конкурента 2,Ссылка конкурента 3,Заголовок конкурента 1,Заголовок конкурента 2,Заголовок конкурента 3,Сниппет конкурента 1,Сниппет конкурента 2,Сниппет конкурента 3
stt,1,14800,91,2.34,I,what is stt,ok,,,,,,,,,,
text to talk,1,3600,65,0.02,I,what is speech to text,ok,,,,,,,,,,
stt stock,1,3200,70,1.85,I,what is stt,ok,,,,,,,,,,
text to,1,1300,65,0.2,I,what is speech to text,ok,,,,,,,,,,
whispr,1,1300,58,0.93,"L,C",what is whisper ai,ok,,,,,,,,,,
how to talk to text,1,1100,73,0.31,I,what is speech to text,ok,,,,,,,,,,
state street stock,1,880,42,1.02,I,what is stt,ok,,,,,,,,,,
speak words,1,810,61,0.02,I,what is speech to text,ok,,,,,,,,,,
how to voice text,1,610,23,0.3,I,what is speech to text,ok,,,,,,,,,,
speak to talk,1,590,53,1.37,I,what is speech to text,ok,,,,,,,,,,
word speaker,1,590,69,0.02,I,what is speech to text,ok,,,,,,,,,,
how to convert audio files to text,1,590,34,1.83,I,what is speech to text,ok,,,,,,,,,,
how to convert audio into text,1,590,35,1.83,I,what is speech to text,ok,,,,,,,,,,
how can i convert an audio file to text,1,590,41,1.83,I,what is speech to text,ok,,,,,,,,,,
text speak,1,590,37,0.57,I,what is speech to text,ok,,,,,,,,,,
transcribe text to audio,1,590,68,1.24,I,what is speech to text,ok,,,,,,,,,,
voice message text,1,590,26,0.9,I,what is speech to text,ok,,,,,,,,,,
transcribe audio file into text,1,590,38,2.04,I,what is speech to text,ok,,,,,,,,,,
type to speak,1,590,58,0.21,I,what is speech to text,ok,,,,,,,,,,
how to convert sound to text,1,590,48,1.83,I,what is speech to text,ok,,,,,,,,,,
free convert text to audio,1,590,56,0.8,I,what is speech to text,ok,,,,,,,,,,
transcribe audio files to text,1,590,44,2.04,I,what is speech to text,ok,,,,,,,,,,
voicemail voice to text,1,590,6,0.66,I,what is speech to text,ok,,,,,,,,,,
convert text to audio free,1,590,56,0.8,I,what is speech to text,ok,,,,,,,,,,
minutes definition,1,500,31,0,I,what is meeting minutes,ok,,,,,,,,,,
what is minutes,1,390,38,0.47,I,what is meeting minutes,ok,,,,,,,,,,
stt meaning,1,320,12,0,I,what is stt,ok,,,,,,,,,,
what is security transaction tax,1,320,16,0,I,what is stt,ok,,,,,,,,,,
what is stt tax,1,320,16,0,I,what is stt,ok,,,,,,,,,,
meaning of stt,1,320,16,0,I,what is stt,ok,,,,,,,,,,
whisper types,1,210,30,1.13,I,what is whisper ai,ok,,,,,,,,,,
whisper price,1,170,17,0.92,I,what is whisper ai,ok,,,,,,,,,,
state street ticker,1,140,40,3.5,I,what is stt,ok,,,,,,,,,,
whisper reviews,1,140,7,0,"L,C",what is whisper ai,ok,,,,,,,,,,
whisper review,1,140,12,0,"L,C",what is whisper ai,ok,,,,,,,,,,
whisper pro,1,140,31,1.92,"I,N",what is whisper ai,ok,,,,,,,,,,
whisper streaming,1,140,17,1.77,I,what is whisper ai,ok,,,,,,,,,,
install whisper,1,140,25,1.14,I,what is whisper ai,ok,,,,,,,,,,
whisper install,1,140,28,1.14,I,what is whisper ai,ok,,,,,,,,,,
whisper python,1,140,32,2.1,I,what is whisper ai,ok,,,,,,,,,,
whisper ai model,1,140,45,1.12,I,what is whisper ai,ok,,,,,,,,,,
whisper ai models,1,140,45,1.12,I,what is whisper ai,ok,,,,,,,,,,
whisper installation,1,140,21,1.14,I,what is whisper ai,ok,,,,,,,,,,
python whisper,1,140,28,3.61,I,what is whisper ai,ok,,,,,,,,,,
installing whisper,1,140,21,1.14,I,what is whisper ai,ok,,,,,,,,,,
open ai whisper api,1,140,33,2.38,I,what is whisper ai,ok,,,,,,,,,,
whisper speech to text,1,130,39,0.97,I,what is whisper ai,ok,,,,,,,,,,
what is taking minutes at a meeting,1,110,13,0,I,what is meeting minutes,ok,,,,,,,,,,
what is taking meeting minutes,1,110,7,0,I,what is meeting minutes,ok,,,,,,,,,,
stt share price,1,110,30,0,I,what is stt,ok,,,,,,,,,,
how to use whisper,1,110,24,1.11,I,what is whisper ai,ok,,,,,,,,,,
whisper login,1,110,14,0.36,I,what is whisper ai,ok,,,,,,,,,,
how can use whisper,1,110,20,1.11,I,what is whisper ai,ok,,,,,,,,,,
whisper app for windows,1,110,25,0.93,I,what is whisper ai,ok,,,,,,,,,,
use for whisper,1,110,29,1.55,I,what is whisper ai,ok,,,,,,,,,,
use whisper,1,110,38,1.55,I,what is whisper ai,ok,,,,,,,,,,
using whisper,1,110,30,1.55,I,what is whisper ai,ok,,,,,,,,,,
whisper how to use,1,110,25,1.55,I,what is whisper ai,ok,,,,,,,,,,
whisper latin,1,110,15,0,I,what is whisper ai,ok,,,,,,,,,,
whisper use,1,110,36,1.55,I,what is whisper ai,ok,,,,,,,,,,
whisper using,1,110,38,1.55,I,what is whisper ai,ok,,,,,,,,,,
how is use whisper,1,110,15,1.11,I,what is whisper ai,ok,,,,,,,,,,
how to use in whisper,1,110,18,1.11,I,what is whisper ai,ok,,,,,,,,,,
how to use openai whisper,1,110,37,1.04,I,what is whisper ai,ok,,,,,,,,,,
stt tax,1,90,15,0,I,what is stt,ok,,,,,,,,,,
securities transaction tax,1,90,16,0,I,what is stt,ok,,,,,,,,,,
securities transactions tax,1,90,26,0,I,what is stt,ok,,,,,,,,,,
what is text to speech software,1,70,0,2.7,I,what is speech to text,ok,,,,,,,,,,
what is the purpose of meeting minutes,1,70,14,0.04,I,what is meeting minutes,ok,,,,,,,,,,
what is the purpose of the minutes of a meeting,1,70,14,0.04,I,what is meeting minutes,ok,,,,,,,,,,
what is the purpose of minutes of a meeting,1,70,15,0.04,I,what is meeting minutes,ok,,,,,,,,,,
state street bank stock,1,70,38,1.02,I,what is stt,ok,,,,,,,,,,
what does stt stand for,1,70,7,0,I,what is stt,ok,,,,,,,,,,
stt stock price,1,60,34,0.62,I,what is stt,ok,,,,,,,,,,
stock stt,1,50,33,0,I,what is stt,ok,,,,,,,,,,
